radius	low	clinical
70	0.31208934960886836	0.7790546908508986
72	0.3126223963336088	0.7792506294790655
74	0.3136247833026573	0.779647407354787
76	0.31480746617307886	0.7801266983151436
78	0.3158232531277463	0.7804935867898166
80	0.3160670985816978	0.7805160162970424
82	0.31521170790074393	0.7800676976330578
84	0.31368518638191745	0.779247413855046
86	0.3119769577169791	0.7782907716464251
88	0.3103484488092363	0.7773486350197345
90	0.30934649746632203	0.7767359188292176
92	0.3094873634399846	0.776616410119459
94	0.3101547016412951	0.7762650263030082
96	0.310766868700739	0.7749286431353539
98	0.31135800608899444	0.7727083754725754
100	0.31211681227432564	0.770153301069513
102	0.3131013140664436	0.7676830431446433
104	0.314258216007147	0.7653934841509908
106	0.3155469600460492	0.7632292730268091
108	0.3167874055216089	0.7610529933590442
110	0.3176653609261848	0.7586570731364191
112	0.3178981089149602	0.7558633226435632
114	0.31765202106907964	0.7527874964289367
116	0.3178048616973683	0.7498538994695991
118	0.3187092903535813	0.7470368375070393
120	0.31968823389615864	0.744166475487873
122	0.32052187324734405	0.7411535009741783
124	0.3203729544766247	0.7402507921215147
126	0.3203729544766247	0.7402507921215147
128	0.3203729544766247	0.7402507921215147
130	0.0	0.0
132	0.0	0.0
134	0.0	0.0
136	0.0	0.0
138	0.0	0.0
140	0.0	0.0
142	0.0	0.0
144	0.0	0.0
146	0.0	0.0
148	0.0	0.0
150	0.0	0.0
152	0.0	0.0
