radius	low	clinical
70	0.3582832342945039	0.7991702286526561
72	0.35803366923937574	0.7991505532991141
74	0.35788181924726814	0.7991823987103999
76	0.3576791122322902	0.7992512781638652
78	0.3574619354913011	0.7993209965061396
80	0.35722230962710455	0.799355979077518
82	0.35692462901351973	0.7993567457888275
84	0.3567128577269614	0.7993986238725483
86	0.3568427705904469	0.799600197467953
88	0.357411720440723	0.7999988393858075
90	0.3584040404530242	0.8005717992782593
92	0.3596528167836368	0.8012068003881723
94	0.3609655572799966	0.8017655310686678
96	0.36226374085526913	0.802211619913578
98	0.36366825189907104	0.8024909456726164
100	0.36511563742533326	0.8019416208844632
102	0.36640092148445547	0.8002856066450477
104	0.36731645138934255	0.7976486517582089
106	0.3682560051092878	0.7946845842525363
108	0.36996265524066985	0.7919106832705438
110	0.3717459839535877	0.7890931495931
112	0.37267900502774864	0.7859119207132608
114	0.3720287539763376	0.7821448966860771
116	0.36954131012316793	0.777646535076201
118	0.3663576286053285	0.77265864610672
120	0.36320253647863865	0.7675904382485896
122	0.36017718457151204	0.7625076414551586
124	0.3573632971383631	0.7574148948770016
126	0.35478789056651294	0.7523406930267811
128	0.35242188547272235	0.7471919518429786
130	0.0	0.0
132	0.0	0.0
134	0.0	0.0
136	0.0	0.0
138	0.0	0.0
140	0.0	0.0
142	0.0	0.0
144	0.0	0.0
146	0.0	0.0
148	0.0	0.0
150	0.0	0.0
152	0.0	0.0
